ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
23128677296,ELVICTO ESCOBAR EXTRAIT DE PARFUM 35ML | Parfum Pria Tahan Lama 12 jam,Rp127.000,16RB,ELVICTO Official Store,10%,Rp12.700,https://shopee.co.id/product/168074809/23128677296,https://s.shopee.co.id/1LPhHQRZu2
23442753715,Apple iPhone 13 128GB 256GB 512GB Second BEKAS ORIGINAL 100% MULUS 13 NORMAL FULLSET,Rp5.780.000,"2,8RB",ZYPHONE,5.5%,Rp317.900,https://shopee.co.id/product/295818274/23442753715,https://s.shopee.co.id/1Vj7TjQwZ5
26617444732,[ Paket Terbaik Putih Wajah ]Glad2Glow Renew bundle 7in1 7pcs-Brightening toner+Brightening Moisturizer+Cleanser+Brightening Serum+Peeling solution+Retinol Pomegranate Niacinamide Mencerahkan Wajah Mencerahkan Melembabkan Kulit skin skincare G2G,Rp118.500,"43,5RB",Glad2Glow Official Store,12%,Rp14.220,https://shopee.co.id/product/809769142/26617444732,https://s.shopee.co.id/10mqsoSqa0
24207089843,3 Pcs Celana Pendek Boadshort Shortpants Pantai Santai Nyaman,Rp99.900,7RB,Arrkan store,12%,Rp11.988,https://shopee.co.id/product/133231593/24207089843,https://s.shopee.co.id/1B6H57SDF3
9111461479,Baterai INR Li Ion 7.4 Volt 2000 mAh High Drain RC Mini Battery,Rp119.900,866,Mobilio RC Station,6.5%,Rp7.794,https://shopee.co.id/product/376812465/9111461479,https://s.shopee.co.id/gA0UCU7Fy
22351073721,iPhone 13 Second & iPhone 13Mini Second ORIGINAL 100% MULUS FULLSET,Rp5.400.000,"1,7RB",Al-Ikhlas Mall,2.5%,Rp135.000,https://shopee.co.id/product/1008535428/22351073721,https://s.shopee.co.id/qTQgVTTv1
24722302435,"BROMEN - Facial Wash (Sabun Cuci Muka Untuk Kulit Kusam, Berjerawat dan Kulit Kering)",Rp49.000,24RB,Bromen Official Shop,12%,Rp5.880,https://shopee.co.id/product/6490430/24722302435,https://s.shopee.co.id/LXA5aVNvw
7616589403,LENYES S108 40w waterproof ipx7 outdoor wireless bluetooth hifi stereo portable speaker heavy bass,Rp736.900,"1,9RB",LENYES Indonesia Official Shop,6.5%,Rp47.899,https://shopee.co.id/product/219000987/7616589403,https://s.shopee.co.id/VqaHtUkaz
24927577770,TERLARIS NO 1 HEYMINE PARFUM AROMA VANILLA - VANILLA CARAMEL - CHOCOLATE VANILLA - PARFUM PRIA WANITA TERATAS WANGI TAHAN LAMA - EDP 35ML SPRAY,Rp9.000,"24,3RB",Juraganparfume6,8%,Rp720,https://shopee.co.id/product/129631511/24927577770,https://s.shopee.co.id/uJgyWebu
23968339548,Apple iphone 11 256GB/128GB/64GB MULUS NORMAL FULLSET Kondisi Perfect Original 100% No Recond No Refurbish,Rp3.059.000,"1,8RB",Gongxi_store,2.5%,Rp76.475,https://shopee.co.id/product/1000260045/23968339548,https://s.shopee.co.id/BDjtHW1Gx
13099492464,Double Zip Hoodie Boxy oversize Fillingstreet - Pst Black,Rp319.999,306,FSCSTAR (official),7%,Rp22.400,https://shopee.co.id/product/95175934/13099492464,https://s.shopee.co.id/50IzeADcSu
23450695144,Weyon tv Animex TV LED 21/24/27 inch HD Digital tv Televisi Murah,Rp725.000,"6,6RB",Jawa Electrik,3.5%,Rp25.375,https://shopee.co.id/product/26098630/23450695144,https://s.shopee.co.id/5AcPqTCz7x
22482177628,LENYES SPEAKER BLUETOOTH TRANSPARAN RGB TWS V5.3 12WATT HIFI STEREO S220,Rp181.900,"14,8RB",Kualitas Official Store,10.5%,Rp19.100,https://shopee.co.id/product/924291156/22482177628,https://s.shopee.co.id/4fg9FYEt8s
24208586585,POCO X6 Pro 5G (12/512GB) | Dimensity 8300-Ultra | 120Hz FIow AMOLED | 67W Turbo Charge [ Official Store ],Rp4.399.000,"26,5RB",Xiaomi Official Store,0.5%,Rp21.995,https://shopee.co.id/product/51925611/24208586585,https://s.shopee.co.id/4pzZRrEFnv
23980424228,Owners Boxy Work Jacket - Liberate - Jaket Hitam Terlaris,Rp419.000,"5,7RB",OWNRS Official Shop,12%,Rp50.280,https://shopee.co.id/product/84499703/23980424228,https://s.shopee.co.id/4L3IqwG9oq
9515355398,VELG ROSSI PALANG 8 MX & JUPITER Z & KARISMA & MX NEW DD revoabs blade grand,Rp380.000,"1,4RB",Verlomotor,2%,Rp7.600,https://shopee.co.id/product/382915724/9515355398,https://s.shopee.co.id/4VMj3FFWTt
25426797955,GOOJODOQ Mini kipas Strong Wind 100 Gear Wind Speed kipas angin Digital Display Adjustable Turbo kipas tangan untuk olahraga luar ruangan dan pendinginan cepat,Rp139.000,19RB,GOOJODOQ ID MALL,5.5%,Rp7.645,https://shopee.co.id/product/405207765/25426797955,https://s.shopee.co.id/40QSSKHQUo
28713581798,Infinix Hot 50 Pro+ 8/256GB - Up to 16GB Extended RAM - Helio G100 - 6.78 inch 3D Curved 120Hz Amoled - 50MP - 5000 mAh - NFC,Rp2.499.000,"12,5RB",Infinix Official Shop,0.5%,Rp12.495,https://shopee.co.id/product/342033216/28713581798,https://s.shopee.co.id/4AjsedGn9r
14581251449,Promo MAKITA Mesin Bor Tangan Baterai Cordless Drill 12V Obeng Kayu Tembok Besi 10Mm Apr Jld Gtools,Rp59.999,165,OFFICIAL APR,3%,Rp1.800,https://shopee.co.id/product/724711375/14581251449,https://s.shopee.co.id/3fnc3iIhAm
24764320384,paket 4 pcs celana pendek pria wanita comfort diamond knit celana boardshort santai pria wanita,Rp103.000,"8,7RB",Ross Store,12%,Rp12.360,https://shopee.co.id/product/228562443/24764320384,https://s.shopee.co.id/3q72G1I3pp
